No.;Time;Comment;Scramble;Date;P.1
1;20.12;;F D2 L2 F R' U' F' U B2 R2 U F2 U L2 F2 B2 D' R2 F' U';2020-06-09 12:51:49;20.12
2;21.49;;R' U2 B2 R U2 F2 R B2 L2 D2 B2 U B' D B2 L R B' D B';2020-06-09 12:52:30;21.49
3;23.34;;D L2 F2 L2 B' D2 L2 R2 B' L2 B' U2 F2 R B2 U' R2 F L2 F' L';2020-06-09 12:53:20;23.34
4;18.13;;D F D' R F L F2 L F R2 U R2 B2 D2 R2 F2 U' B2 D F2 D2;2020-06-09 12:54:05;18.13
5;19.20;;L' D2 F U2 B2 D2 R2 F' L2 B2 U2 L2 F' R' D B D2 L B2 F2 D2;2020-06-09 12:54:55;19.20
6;18.19;;D' F2 D2 R' B2 L' D2 L2 B2 U2 R' B R B' D L2 B2 L2 F;2020-06-09 12:55:33;18.19
7;24.31;;F' L' B R D L F D R U2 F2 L2 B2 L2 U2 L2 B' R2 L2 B R2;2020-06-09 12:56:16;24.31
8;22.98;;L U' F2 R2 U2 B2 R2 D' R2 F2 D' F2 U R B2 R B' R2 D L2;2020-06-09 12:57:09;22.98
9;21.22;;B U R' U2 F B R F2 D' U2 F U2 R2 B L2 B' R2 L2 F' B';2020-06-09 12:57:52;21.22
10;20.64;;U B L F2 D' B2 R2 U F2 D' L2 U B2 F2 L F' D2 F' D R U2;2020-06-09 12:58:38;20.64
11;19.46;;D2 F2 D2 L D B L R2 U2 D2 B' D2 F L2 B2 R2 F' L2 D;2020-06-09 12:59:19;19.46
12;23.35;;B' R' B2 U2 F2 U' B2 F2 D' U' B2 F2 U' F' U' R B U' B2 L;2020-06-09 13:00:01;23.35
13;21.15;;U L F2 D2 U' L2 F2 R2 F2 U' F2 L2 U R' B' R2 U2 R D F2;2020-06-09 13:00:41;21.15
14;21.06;;D' L2 B' R2 F2 D B2 D F2 L2 D2 L2 F2 D R B D F' R B2 L';2020-06-09 13:01:30;21.06
15;25.18;;F' R F2 R2 D' R2 U' R2 U' B2 U2 R2 F' L' B R2 B2 R' B2 F;2020-06-09 13:02:58;25.18
16;21.59;;B' F2 R2 D2 L' U2 R B2 F2 R U2 F2 U L F U2 B2 D F' L2;2020-06-09 13:05:33;21.59
17;20.92;;B R' B2 U2 L B2 D2 L2 B2 D2 F2 R' B2 U' B D2 B2 R D L' U2;2020-06-09 13:06:14;20.92
18;24.48;;R2 F R2 B2 D L2 R2 D' F2 U2 R2 D' R2 U2 R B L U R2 U2 L';2020-06-09 13:07:06;24.48
19;21.50;;B2 L2 B2 R' F2 L D2 B2 U2 F2 R D F D' R D2 B2 U L D';2020-06-09 13:07:58;21.50
20;22.15;;B' R' D' B U' D2 F L2 U' L2 F2 U2 D2 F2 D2 R' U2 L' F2 L D2;2020-06-09 13:09:00;22.15
21;18.13;;D2 B2 L' R2 D' B2 F2 D2 F2 U L2 R2 F R B2 D2 B2 F D;2020-06-09 13:11:37;18.13
22;DNF(5.42);;D R U' R2 F2 R2 F' D2 B2 R2 F' L2 F2 R' U' L R2 F' L' R';2020-06-09 13:12:12;5.42
23;21.42;;D2 L F' R2 D' B D2 L' B U' L2 D F2 B2 U L2 F2 D F2 R2 L2;2020-06-09 13:13:36;21.42
24;22.16;;U' F2 U' L2 R2 B2 D' B2 F2 R2 U B D2 L B2 U2 L' B U' R;2020-06-09 13:14:44;22.16
25;21.64;;B2 U2 R2 D2 R2 B2 D' F2 L2 R2 D' F D U2 R U' L' R' B' L2 R;2020-06-09 13:16:11;21.64
